STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
Uttar Pradesh,CHANDOLI,2013,31,26,8,20,0,20,53,46,7,1,0,14,31,102,45,57,31,34,71,0,5,168,16,68,1,0,0,97,306,1083
Uttar Pradesh,CHITRAKOOT DHAM,2013,20,10,8,23,0,23,27,22,5,1,0,3,42,81,40,41,11,18,47,0,8,11,14,35,0,7,0,73,368,807
Uttar Pradesh,DEORIA,2013,50,25,23,44,0,44,180,145,35,2,0,29,100,214,117,97,85,23,101,2,5,217,37,87,0,27,0,147,484,1882
Uttar Pradesh,ETAH,2013,59,128,23,34,0,34,120,101,19,3,0,44,47,345,185,160,104,40,83,0,9,279,32,122,1,99,0,199,735,2506
Uttar Pradesh,ETAWAH,2013,62,69,12,23,0,23,88,74,14,2,0,39,55,345,273,72,10,42,96,1,6,156,30,30,0,62,0,198,916,2242
Uttar Pradesh,FAIZABAD,2013,37,32,13,35,0,35,138,135,3,1,2,28,83,264,132,132,40,53,105,0,0,193,11,79,1,7,0,189,839,2150
Uttar Pradesh,FATEHGARH,2013,56,66,19,25,0,25,105,95,10,1,3,13,59,239,163,76,25,23,49,0,0,125,34,30,0,38,0,125,719,1754
Uttar Pradesh,FATEHPUR,2013,61,38,31,42,0,42,123,112,11,3,1,13,49,154,81,73,45,39,103,2,5,273,39,87,0,80,0,268,778,2234
Uttar Pradesh,FIROZABAD,2013,106,143,12,39,0,39,233,187,46,7,0,90,88,699,475,224,176,98,207,0,1,316,66,112,0,165,0,283,1185,4026
Uttar Pradesh,G.R.P.,2013,35,9,4,3,0,3,55,28,27,8,3,52,1,3043,127,2916,28,11,29,2,0,20,3,84,0,1,0,2,776,4169
